district,year,month,ndvi,ndvi_baseline,anomaly_pct
Tiruvannamalai,2021,1,0.4566,0.48275,-5.42
Vellore,2021,1,0.4774,0.5164,-7.55
Villupuram,2021,1,0.4319,0.481225,-10.25
Thoothukudi,2021,4,0.3223,0.25285,27.47
Coimbatore,2021,4,0.3744,0.399275,-6.23
Dharmapuri,2021,4,0.312,0.351025,-11.12
Virudhunagar,2021,4,0.3439,0.2985,15.21
Kanniyakumari,2021,4,0.4693,0.369025,27.17
Nilgiris,2021,4,0.5741,0.5813,-1.24
Erode,2021,4,0.3444,0.375875,-8.37
Pudukkottai,2021,4,0.2878,0.2958,-2.7
Dindigul,2021,4,0.373,0.408525,-8.7
Ramanathapuram,2021,4,0.2529,0.2497,1.28
Salem,2021,4,0.3283,0.37695,-12.91
Thanjavur,2021,4,0.3018,0.335225,-9.97
Sivaganga,2021,4,0.3057,0.303225,0.82
Tiruchchirappalli,2021,4,0.2972,0.3382,-12.12
Tirunelveli Kattabo,2021,4,0.4291,0.3329999999999999,28.86
Ariyalur,2021,4,0.2966,0.3109,-4.6
Chennai,2021,4,0.1884,0.240825,-21.77
Cuddalore,2021,4,0.2806,0.32045,-12.44
Kancheepuram,2021,4,0.2142,0.294075,-27.16
Karur,2021,4,0.2419,0.280175,-13.66
Madurai,2021,4,0.3461,0.346775,-0.19
Nagapattinam,2021,4,0.2648,0.290275,-8.78
Namakkal,2021,4,0.2964,0.3531499999999999,-16.07
Perambalur,2021,4,0.3195,0.32915,-2.93
Theni,2021,4,0.5046,0.470725,7.2
Thiruvallur,2021,4,0.258,0.33675,-23.39
Tiruvannamalai,2021,4,0.3483,0.3495,-0.34
Vellore,2021,4,0.314,0.34125,-7.99
Villupuram,2021,4,0.3177,0.343625,-7.54
Thoothukudi,2021,7,0.2791,0.19155,45.71
Dharmapuri,2021,7,0.4477,0.208225,115.01
Virudhunagar,2021,7,0.29,0.2682,8.13
Kanniyakumari,2021,7,0.6933,0.4614749999999999,50.24
Pudukkottai,2021,7,0.3065,0.37705,-18.71
Ramanathapuram,2021,7,0.2708,0.2653999999999999,2.03
Salem,2021,7,0.5018,0.247,103.16
Thanjavur,2021,7,0.4362,0.4125,5.75
Sivaganga,2021,7,0.3283,0.343125,-4.32
Tiruchchirappalli,2021,7,0.3935,0.342275,14.97
Tirunelveli Kattabo,2021,7,0.4283,0.243525,75.88
Ariyalur,2021,7,0.3845,0.362475,6.08
Chennai,2021,7,0.2509,0.1924,30.41
Cuddalore,2021,7,0.4472,0.39685,12.69
Kancheepuram,2021,7,0.5192,0.506175,2.57
Karur,2021,7,0.331,0.1578999999999999,109.63
Madurai,2021,7,0.3355,0.368925,-9.06
Namakkal,2021,7,0.5019,0.236925,111.84
Perambalur,2021,7,0.3722,0.2519,47.76
Thiruvallur,2021,7,0.4845,0.475725,1.84
Tiruvannamalai,2021,7,0.5377,0.3723499999999999,44.41
Vellore,2021,7,0.5176,0.40025,29.32
Villupuram,2021,7,0.5213,0.4544249999999999,14.72
Kanniyakumari,2021,10,0.4851,0.4174,16.22
Nilgiris,2021,10,0.489,0.5840000000000001,-16.27
Erode,2021,10,0.4366,0.515675,-15.33
Pudukkottai,2021,10,0.3059,0.409375,-25.28
Dindigul,2021,10,0.5197,0.534525,-2.77
Salem,2021,10,0.4249,0.5622,-24.42
Thanjavur,2021,10,0.4068,0.4784,-14.97
Tiruchchirappalli,2021,10,0.5313,0.513425,3.48
Ariyalur,2021,10,0.5156,0.50435,2.23
Chennai,2021,10,0.2239,0.181525,23.34
Cuddalore,2021,10,0.4709,0.472475,-0.33
Kancheepuram,2021,10,0.4937,0.383875,28.61
Karur,2021,10,0.5009,0.411625,21.69
Nagapattinam,2021,10,0.3501,0.435525,-19.61
Namakkal,2021,10,0.4626,0.51305,-9.83
Perambalur,2021,10,0.5407,0.58555,-7.66
Thiruvallur,2021,10,0.4003,0.510325,-21.56
Tiruvannamalai,2021,10,0.5642,0.5848,-3.52
Vellore,2021,10,0.4818,0.576975,-16.5
Villupuram,2021,10,0.5325,0.55185,-3.51
Thoothukudi,2022,1,0.4262,0.4731499999999999,-9.92
Coimbatore,2022,1,0.4832,0.472775,2.21
Dharmapuri,2022,1,0.4634,0.49445,-6.28
Virudhunagar,2022,1,0.4469,0.503275,-11.2
Kanniyakumari,2022,1,0.5809,0.663225,-12.41
Nilgiris,2022,1,0.5778,0.63945,-9.64
Erode,2022,1,0.5175,0.51135,1.2
Pudukkottai,2022,1,0.4843,0.4848,-0.1
Dindigul,2022,1,0.5018,0.52995,-5.31
Ramanathapuram,2022,1,0.4231,0.427625,-1.06
Salem,2022,1,0.4999,0.506475,-1.3
Thanjavur,2022,1,0.6008,0.5016,19.78
Sivaganga,2022,1,0.4541,0.444175,2.23
Tiruchchirappalli,2022,1,0.4854,0.478525,1.44
Tirunelveli Kattabo,2022,1,0.4952,0.4692,5.54
Ariyalur,2022,1,0.5038,0.477925,5.41
Chennai,2022,1,0.1652,0.17355,-4.81
Cuddalore,2022,1,0.4878,0.461975,5.59
Kancheepuram,2022,1,0.3653,0.395775,-7.7
Karur,2022,1,0.4344,0.4509,-3.66
Madurai,2022,1,0.4666,0.50405,-7.43
Nagapattinam,2022,1,0.5832,0.4681,24.59
Namakkal,2022,1,0.4467,0.479375,-6.82
Perambalur,2022,1,0.4781,0.450625,6.1
Theni,2022,1,0.5247,0.5098750000000001,2.91
Thiruvallur,2022,1,0.3797,0.4298,-11.66
Tiruvannamalai,2022,1,0.4366,0.48275,-9.56
Vellore,2022,1,0.4811,0.5164,-6.84
Villupuram,2022,1,0.4883,0.481225,1.47
Thoothukudi,2022,4,0.257,0.25285,1.64
Coimbatore,2022,4,0.4609,0.399275,15.43
Dharmapuri,2022,4,0.3699,0.351025,5.38
Virudhunagar,2022,4,0.2989,0.2985,0.13
Nilgiris,2022,4,0.5582,0.5813,-3.97
Erode,2022,4,0.428,0.375875,13.87
Pudukkottai,2022,4,0.362,0.2958,22.38
Dindigul,2022,4,0.484,0.408525,18.48
