district,year,month,rainfall_mm
Villupuram,2023,1,10.3
Thoothukudi,2023,4,60.38
Coimbatore,2023,4,24.03
Dharmapuri,2023,4,17.62
Virudhunagar,2023,4,71.29
Kanniyakumari,2023,4,62.12
Nilgiris,2023,4,16.13
Erode,2023,4,18.79
Pudukkottai,2023,4,34.87
Dindigul,2023,4,46.24
Ramanathapuram,2023,4,41.97
Salem,2023,4,16.13
Thanjavur,2023,4,24.74
Sivaganga,2023,4,39.59
Tiruchchirappalli,2023,4,37.55
Tirunelveli Kattabo,2023,4,86.04
Ariyalur,2023,4,16.95
Chennai,2023,4,8.3
Cuddalore,2023,4,13.48
Kancheepuram,2023,4,8.61
Karur,2023,4,31.3
Madurai,2023,4,47.43
Nagapattinam,2023,4,18.42
Namakkal,2023,4,24.08
Perambalur,2023,4,27.72
Theni,2023,4,66.64
Thiruvallur,2023,4,8.29
Tiruvannamalai,2023,4,16.44
Vellore,2023,4,12.38
Villupuram,2023,4,17.44
Thoothukudi,2023,7,11.46
Coimbatore,2023,7,68.89
Dharmapuri,2023,7,99.78
Virudhunagar,2023,7,69.48
Kanniyakumari,2023,7,61.68
Nilgiris,2023,7,163.98
Erode,2023,7,13.58
Pudukkottai,2023,7,111.15
Dindigul,2023,7,87.73
Ramanathapuram,2023,7,1.32
Salem,2023,7,99.75
Thanjavur,2023,7,60.93
Sivaganga,2023,7,76.9
Tiruchchirappalli,2023,7,72.0
Tirunelveli Kattabo,2023,7,91.9
Ariyalur,2023,7,54.0
Chennai,2023,7,112.35
Cuddalore,2023,7,77.7
Kancheepuram,2023,7,85.72
Karur,2023,7,30.81
Madurai,2023,7,117.35
Nagapattinam,2023,7,43.61
Namakkal,2023,7,49.06
Perambalur,2023,7,75.49
Theni,2023,7,168.56
Thiruvallur,2023,7,92.55
Tiruvannamalai,2023,7,112.14
Vellore,2023,7,143.33
Villupuram,2023,7,85.55
Thoothukudi,2023,10,50.08
Coimbatore,2023,10,98.76
