district,year,month,ndvi
Virudhunagar,2022,4,0.2989
Kanniyakumari,2022,4,0.0
Nilgiris,2022,4,0.5582
Erode,2022,4,0.428
Pudukkottai,2022,4,0.362
Dindigul,2022,4,0.484
Ramanathapuram,2022,4,0.2982
Salem,2022,4,0.435
Thanjavur,2022,4,0.3545
Sivaganga,2022,4,0.3582
Tiruchchirappalli,2022,4,0.4166
Tirunelveli Kattabo,2022,4,0.2116
Ariyalur,2022,4,0.3138
Chennai,2022,4,0.232
Cuddalore,2022,4,0.3103
Kancheepuram,2022,4,0.2877
Karur,2022,4,0.3535
Madurai,2022,4,0.3764
Nagapattinam,2022,4,0.3018
Namakkal,2022,4,0.4229
Perambalur,2022,4,0.3654
Theni,2022,4,0.4924
Thiruvallur,2022,4,0.3598
Tiruvannamalai,2022,4,0.3055
Vellore,2022,4,0.3395
Villupuram,2022,4,0.3395
Thoothukudi,2022,7,0.0749
Coimbatore,2022,7,0.0
Dharmapuri,2022,7,0.0
Virudhunagar,2022,7,0.2463
Kanniyakumari,2022,7,0.0
Nilgiris,2022,7,0.0
Erode,2022,7,0.0
Pudukkottai,2022,7,0.4059
Dindigul,2022,7,0.0
Ramanathapuram,2022,7,0.264
Salem,2022,7,0.0
Thanjavur,2022,7,0.4979
Sivaganga,2022,7,0.3049
Tiruchchirappalli,2022,7,0.2985
Tirunelveli Kattabo,2022,7,0.0
Ariyalur,2022,7,0.4287
Chennai,2022,7,0.2247
Cuddalore,2022,7,0.3963
Kancheepuram,2022,7,0.3235
Karur,2022,7,0.0
Madurai,2022,7,0.4609
Nagapattinam,2022,7,0.4316
Namakkal,2022,7,0.0
Perambalur,2022,7,0.0
Theni,2022,7,0.0
Thiruvallur,2022,7,0.4591
Tiruvannamalai,2022,7,0.4222
Vellore,2022,7,0.5335
Villupuram,2022,7,0.4029
Thoothukudi,2022,10,0.3653
Coimbatore,2022,10,0.0
Dharmapuri,2022,10,0.6366
Virudhunagar,2022,10,0.0
Kanniyakumari,2022,10,0.4706
Nilgiris,2022,10,0.5148
